Title,Link,Authors,Publish Date,Topic,Author 1 Name,Author 1 H-index,Author 2 Name,Author 2 H-index
Exploratory Data Analysis and Modeling of Large Language Model Survey Papers,https://engrxiv.org/preprint/view/3955,Guanming Zhang,2024/9/30,Other,Guanming Zhang,NA,,
Computationally efficient deep learning models for diabetic retinopathy detection: a systematic literature review,https://link.springer.com/article/10.1007/s10462-024-10942-9,"Nazeef Ul Haq, Talha Waheed, Kashif Ishaq, Muhammad Awais Hassan, Nurhizam Safie, Nur Fazidah Elias & Muhammad Shoaib",2024/9/30,Other,Nazeef Ul Haq,NA,Talha Waheed,3
Special Session: Neuro-Symbolic Architecture Meets Large Language Models: A Memory-Centric Perspective,https://web.eng.fiu.edu/gaquan/Papers/ESWEEK24Papers/CPS-Proceedings/pdfs/CODES-ISSS/563900a013/563900a013.pdf,"Mohamed Ibrahim, Zishen Wan, Haitong Li, Priyadarshini Panda, Tushar Krishna, Pentti Kanerva, Yiran Chen, Arijit Raychowdhury",2024/9/30,Other,Mohamed Ibrahim,NA,Zishen Wan,16
Neurosymbolic AI approach to Attribution in Large Language Models,https://arxiv.org/pdf/2410.03726,"Deepa Tilwani, Revathy Venkataramanan, Amit P. Sheth",2024/9/30,Other,Deepa Tilwani,3,Revathy Venkataramanan,5
Editorial: Applications of Artificial Intelligence and Machine Learning in Games,https://www.mdpi.com/2076-3417/14/19/8782,Maxim Mozgovoy,2024/9/29,Other,Maxim Mozgovoy,19,,
Bridging MDE and AI: a systematic review of domain-specific languages and model-driven practices in AI software systems engineering,https://link.springer.com/article/10.1007/s10270-024-01211-y,"Simon R?dler, Luca Berardinelli, Karolin Winter, Abbas Rahimi & Stefanie Rinderle-Ma",2024/9/28,Other,Simon R?dler,4,Luca Berardinelli,15
AI empowers exploration of protein universe,https://link.springer.com/article/10.1007/s11427-024-2673-9,"Wuke Wang, Xingxu Huang",2024/9/27,Other,Wuke Wang,NA,Xingxu Huang,67
DANA: Domain-Aware Neurosymbolic Agents for Consistency and Accuracy,https://arxiv.org/pdf/2410.028,"Vinh Luong, Sang Dinh, Shruti Raghavan, William Nguyen, Zooey Nguyen, Quynh Le, Hung Vo, Kentaro Maegaito, Loc Nguyen, Thao Nguyen, Anh Hai Ha, Christopher Nguyen",2024/9/27,Other,Vinh Luong,NA,Sang Dinh,14
Functional Classification of Spiking Signal Data Using Artificial Intelligence Techniques: A Review,https://arxiv.org/abs/2409.17516,"Danial Sharifrazi, Nouman Javed, Javad Hassannataj Joloudari, Roohallah Alizadehsani, Prasad N. Paradkar, Ru-San Tan, U. Rajendra Acharya, Asim Bhatti",2024/9/26,Other,Danial Sharifrazi,9,Nouman Javed,5
Can-Do! A Dataset and Neuro-Symbolic Grounded Framework for Embodied Planning with Large Multimodal Models,https://arxiv.org/pdf/2409.14277,"Yew Ken Chia, Qi Sun, Lidong Bing, Soujanya Poria",2024/9/22,Other,Yew Ken Chia,NA,Qi Sun,NA
Neurosymbolic Conformal Classification,https://doi.org/10.48550/arXiv.2409.13585,"Arthur Ledaguenel, C??line Hudelot, Mostepha Khouadjia",2024/9/20,Other,Arthur Ledaguenel,1,C??line Hudelot,25
Concept-Based Explanations in Computer Vision:Where Are We and Where Could We Go?,https://arxiv.org/pdf/2409.13456,"Jae Hee Lee, Georgii Mikriukov, Gesina Schwalbe, Stefan Wermter, Diedrich Wolter",2024/9/20,Other,Jae Hee Lee,10,Georgii Mikriukov,5
Problems With SHAP and LIME in Interpretable AI for Education: A Comparative Study of Post-Hoc Explanations and Neural-Symbolic Rule Extraction,https://doi.org/10.1109/ACCESS.2024.3463948,"Danial Hooshyar, Yeongwook Yang",2024/9/19,Other,Danial Hooshyar,24,Yeongwook Yang,16
CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,https://doi.org/10.48550/arXiv.2409.11363,"Zachary S. Siegel, Sayash Kapoor, Nitya Nagdir, Benedikt Stroebl, Arvind Narayanan",2024/9/17,Other,Zachary S. Siegel,4,Sayash Kapoor,12
