Title,Authors,Publish Date,Topic,Abstract,Citation
Corrective Retrieval Augmented Generation,"Shi-Qi Yan, Jia-Chen Gu, Yun Zhu, Zhen-Hua Ling",2024-01-29T04:36:39Z,Retrieval Augmented Generation,"  Large language models (LLMs) inevitably exhibit hallucinations since the
accuracy of generated texts cannot be secured solely by the parametric
knowledge they encapsulate. Although retrieval-augmented generation (RAG) is a
practicable complement to LLMs, it relies heavily on the relevance of retrieved
documents, raising concerns about how the model behaves if retrieval goes
wrong. To this end, we propose the Corrective Retrieval Augmented Generation
(CRAG) to improve the robustness of generation. Specifically, a lightweight
retrieval evaluator is designed to assess the overall quality of retrieved
documents for a query, returning a confidence degree based on which different
knowledge retrieval actions can be triggered. Since retrieval from static and
limited corpora can only return sub-optimal documents, large-scale web searches
are utilized as an extension for augmenting the retrieval results. Besides, a
decompose-then-recompose algorithm is designed for retrieved documents to
selectively focus on key information and filter out irrelevant information in
them. CRAG is plug-and-play and can be seamlessly coupled with various
RAG-based approaches. Experiments on four datasets covering short- and
long-form generation tasks show that CRAG can significantly improve the
performance of RAG-based approaches.
",29
"Collective eXplainable AI: Explaining Cooperative Strategies and Agent
  Contribution in Multiagent Reinforcement Learning with Shapley Values","Alexandre Heuillet, Fabien Couthouis, Natalia Díaz-Rodríguez",2021-10-04T10:28:57Z,"Reinforcement Learning, Explainable AI","  While Explainable Artificial Intelligence (XAI) is increasingly expanding
more areas of application, little has been applied to make deep Reinforcement
Learning (RL) more comprehensible. As RL becomes ubiquitous and used in
critical and general public applications, it is essential to develop methods
that make it better understood and more interpretable. This study proposes a
novel approach to explain cooperative strategies in multiagent RL using Shapley
values, a game theory concept used in XAI that successfully explains the
rationale behind decisions taken by Machine Learning algorithms. Through
testing common assumptions of this technique in two cooperation-centered
socially challenging multi-agent environments environments, this article argues
that Shapley values are a pertinent way to evaluate the contribution of players
in a cooperative multi-agent RL context. To palliate the high overhead of this
method, Shapley values are approximated using Monte Carlo sampling.
Experimental results on Multiagent Particle and Sequential Social Dilemmas show
that Shapley values succeed at estimating the contribution of each agent. These
results could have implications that go beyond games in economics, (e.g., for
non-discriminatory decision making, ethical and responsible AI-derived
decisions or policy making under fairness constraints). They also expose how
Shapley values only give general explanations about a model and cannot explain
a single run, episode nor justify precise actions taken by agents. Future work
should focus on addressing these critical aspects.
",44
Reinforcement Learning for Optimizing RAG for Domain Chatbots,"Mandar Kulkarni, Praveen Tangarajan, Kyung Kim, Anusua Trivedi",2024-01-10T02:57:20Z,"RAG, Reinforcement Learning","  With the advent of Large Language Models (LLM), conversational assistants
have become prevalent for domain use cases. LLMs acquire the ability to
contextual question answering through training, and Retrieval Augmented
Generation (RAG) further enables the bot to answer domain-specific questions.
This paper describes a RAG-based approach for building a chatbot that answers
user's queries using Frequently Asked Questions (FAQ) data. We train an
in-house retrieval embedding model using infoNCE loss, and experimental results
demonstrate that the in-house model works significantly better than the
well-known general-purpose public embedding model, both in terms of retrieval
accuracy and Out-of-Domain (OOD) query detection. As an LLM, we use an open
API-based paid ChatGPT model. We noticed that a previously retrieved-context
could be used to generate an answer for specific patterns/sequences of queries
(e.g., follow-up queries). Hence, there is a scope to optimize the number of
LLM tokens and cost. Assuming a fixed retrieval model and an LLM, we optimize
the number of LLM tokens using Reinforcement Learning (RL). Specifically, we
propose a policy-based model external to the RAG, which interacts with the RAG
pipeline through policy actions and updates the policy to optimize the cost.
The policy model can perform two actions: to fetch FAQ context or skip
retrieval. We use the open API-based GPT-4 as the reward model. We then train a
policy model using policy gradient on multiple training chat sessions. As a
policy model, we experimented with a public gpt-2 model and an in-house BERT
model. With the proposed RL-based optimization combined with similarity
threshold, we are able to achieve significant cost savings while getting a
slightly improved accuracy. Though we demonstrate results for the FAQ chatbot,
the proposed RL approach is generic and can be experimented with any existing
RAG pipeline.
",0
"What does it mean to be a responsible AI practitioner: An ontology of
  roles and skills","Shalaleh Rismani, AJung Moon",2022-05-08T20:25:13Z,"Responsible AI, Ontology","  With the growing need to regulate AI systems across a wide variety of
application domains, a new set of occupations has emerged in the industry. The
so-called responsible AI practitioners or AI ethicists are generally tasked
with interpreting and operationalizing best practices for ethical and safe
design of AI systems. Due to the nascent nature of these roles, however, it is
unclear to future employers and aspiring AI ethicists what specific function
these roles serve and what skills are necessary to serve the functions. Without
clarity on these, we cannot train future AI ethicists with meaningful learning
objectives.
  In this work, we examine what responsible AI practitioners do in the industry
and what skills they employ on the job. We propose an ontology of existing
roles alongside skills and competencies that serve each role. We created this
ontology by examining the job postings for such roles over a two-year period
(2020-2022) and conducting expert interviews with fourteen individuals who
currently hold such a role in the industry. Our ontology contributes to
business leaders looking to build responsible AI teams and provides educators
with a set of competencies that an AI ethics curriculum can prioritize.
",0
"Neurosymbolic AI -- Why, What, and How","Amit Sheth, Kaushik Roy, Manas Gaur",2023-05-01T13:27:22Z,Neurosymbolic AI,"  Humans interact with the environment using a combination of perception -
transforming sensory inputs from their environment into symbols, and cognition
- mapping symbols to knowledge about the environment for supporting
abstraction, reasoning by analogy, and long-term planning. Human
perception-inspired machine perception, in the context of AI, refers to
large-scale pattern recognition from raw data using neural networks trained
using self-supervised learning objectives such as next-word prediction or
object recognition. On the other hand, machine cognition encompasses more
complex computations, such as using knowledge of the environment to guide
reasoning, analogy, and long-term planning. Humans can also control and explain
their cognitive functions. This seems to require the retention of symbolic
mappings from perception outputs to knowledge about their environment. For
example, humans can follow and explain the guidelines and safety constraints
driving their decision-making in safety-critical applications such as
healthcare, criminal justice, and autonomous driving. This article introduces
the rapidly emerging paradigm of Neurosymbolic AI combines neural networks and
knowledge-guided symbolic approaches to create more capable and flexible AI
systems. These systems have immense potential to advance both algorithm-level
(e.g., abstraction, analogy, reasoning) and application-level (e.g.,
explainable and safety-constrained decision-making) capabilities of AI systems.
",0
Neurosymbolic AI and its Taxonomy: a survey,"Wandemberg Gibaut, Leonardo Pereira, Fabio Grassiotto, Alexandre Osorio, Eder Gadioli, Amparo Munoz, Sildolfo Gomes, Claudio dos Santos",2023-05-12T19:51:13Z,Neurosymbolic AI,"  Neurosymbolic AI deals with models that combine symbolic processing, like
classic AI, and neural networks, as it's a very established area. These models
are emerging as an effort toward Artificial General Intelligence (AGI) by both
exploring an alternative to just increasing datasets' and models' sizes and
combining Learning over the data distribution, Reasoning on prior and learned
knowledge, and by symbiotically using them. This survey investigates research
papers in this area during recent years and brings classification and
comparison between the presented models as well as applications.
",0
Retrieval Augmented Generation using Engineering Design Knowledge,"L. Siddharth, Jianxi Luo",2023-07-13T17:25:28Z,Retrieval Augmented Generation,"  Aiming to support Retrieval Augmented Generation (RAG) in the design process,
we present a method to identify explicit, engineering design facts - {head
entity :: relationship :: tail entity} from patented artefact descriptions.
Given a sentence with a pair of entities (based on noun phrases) marked in a
unique manner, our method extracts the relationship that is explicitly
communicated in the sentence. For this task, we create a dataset of 375,084
examples and fine-tune language models for relation identification (token
classification) and elicitation (sequence-to-sequence). The token
classification approach achieves up to 99.7 % accuracy. Upon applying the
method to a domain of 4,870 fan system patents, we populate a knowledge base of
over 2.93 million facts. Using this knowledge base, we demonstrate how Large
Language Models (LLMs) are guided by explicit facts to synthesise knowledge and
generate technical and cohesive responses when sought out for knowledge
retrieval tasks in the design process.
",0
RAGAS: Automated Evaluation of Retrieval Augmented Generation,"Shahul Es, Jithin James, Luis Espinosa-Anke, Steven Schockaert",2023-09-26T19:23:54Z,"Retrieval Augmented Generation, RAG","  We introduce RAGAs (Retrieval Augmented Generation Assessment), a framework
for reference-free evaluation of Retrieval Augmented Generation (RAG)
pipelines. RAG systems are composed of a retrieval and an LLM based generation
module, and provide LLMs with knowledge from a reference textual database,
which enables them to act as a natural language layer between a user and
textual databases, reducing the risk of hallucinations. Evaluating RAG
architectures is, however, challenging because there are several dimensions to
consider: the ability of the retrieval system to identify relevant and focused
context passages, the ability of the LLM to exploit such passages in a faithful
way, or the quality of the generation itself. With RAGAs, we put forward a
suite of metrics which can be used to evaluate these different dimensions
\textit{without having to rely on ground truth human annotations}. We posit
that such a framework can crucially contribute to faster evaluation cycles of
RAG architectures, which is especially important given the fast adoption of
LLMs.
",0
Context Tuning for Retrieval Augmented Generation,"Raviteja Anantha, Tharun Bethi, Danil Vodianik, Srinivas Chappidi",2023-12-09T23:33:16Z,Retrieval Augmented Generation,"  Large language models (LLMs) have the remarkable ability to solve new tasks
with just a few examples, but they need access to the right tools. Retrieval
Augmented Generation (RAG) addresses this problem by retrieving a list of
relevant tools for a given task. However, RAG's tool retrieval step requires
all the required information to be explicitly present in the query. This is a
limitation, as semantic search, the widely adopted tool retrieval method, can
fail when the query is incomplete or lacks context. To address this limitation,
we propose Context Tuning for RAG, which employs a smart context retrieval
system to fetch relevant information that improves both tool retrieval and plan
generation. Our lightweight context retrieval model uses numerical,
categorical, and habitual usage signals to retrieve and rank context items. Our
empirical results demonstrate that context tuning significantly enhances
semantic search, achieving a 3.5-fold and 1.5-fold improvement in Recall@K for
context retrieval and tool retrieval tasks respectively, and resulting in an
11.6% increase in LLM-based planner accuracy. Additionally, we show that our
proposed lightweight model using Reciprocal Rank Fusion (RRF) with LambdaMART
outperforms GPT-4 based retrieval. Moreover, we observe context augmentation at
plan generation, even after tool retrieval, reduces hallucination.
",0
Benchmarking Retrieval-Augmented Generation for Medicine,"Guangzhi Xiong, Qiao Jin, Zhiyong Lu, Aidong Zhang",2024-02-20T17:44:06Z,Other,"  While large language models (LLMs) have achieved state-of-the-art performance
on a wide range of medical question answering (QA) tasks, they still face
challenges with hallucinations and outdated knowledge. Retrieval-augmented
generation (RAG) is a promising solution and has been widely adopted. However,
a RAG system can involve multiple flexible components, and there is a lack of
best practices regarding the optimal RAG setting for various medical purposes.
To systematically evaluate such systems, we propose the Medical Information
Retrieval-Augmented Generation Evaluation (MIRAGE), a first-of-its-kind
benchmark including 7,663 questions from five medical QA datasets. Using
MIRAGE, we conducted large-scale experiments with over 1.8 trillion prompt
tokens on 41 combinations of different corpora, retrievers, and backbone LLMs
through the MedRAG toolkit introduced in this work. Overall, MedRAG improves
the accuracy of six different LLMs by up to 18% over chain-of-thought
prompting, elevating the performance of GPT-3.5 and Mixtral to GPT-4-level. Our
results show that the combination of various medical corpora and retrievers
achieves the best performance. In addition, we discovered a log-linear scaling
property and the ""lost-in-the-middle"" effects in medical RAG. We believe our
comprehensive evaluations can serve as practical guidelines for implementing
RAG systems for medicine.
",0
Federated Recommendation via Hybrid Retrieval Augmented Generation,"Huimin Zeng, Zhenrui Yue, Qian Jiang, Dong Wang",2024-03-07T06:38:41Z,Retrieval Augmented Generation,"  Federated Recommendation (FR) emerges as a novel paradigm that enables
privacy-preserving recommendations. However, traditional FR systems usually
represent users/items with discrete identities (IDs), suffering from
performance degradation due to the data sparsity and heterogeneity in FR. On
the other hand, Large Language Models (LLMs) as recommenders have proven
effective across various recommendation scenarios. Yet, LLM-based recommenders
encounter challenges such as low inference efficiency and potential
hallucination, compromising their performance in real-world scenarios. To this
end, we propose GPT-FedRec, a federated recommendation framework leveraging
ChatGPT and a novel hybrid Retrieval Augmented Generation (RAG) mechanism.
GPT-FedRec is a two-stage solution. The first stage is a hybrid retrieval
process, mining ID-based user patterns and text-based item features. Next, the
retrieved results are converted into text prompts and fed into GPT for
re-ranking. Our proposed hybrid retrieval mechanism and LLM-based re-rank aims
to extract generalized features from data and exploit pretrained knowledge
within LLM, overcoming data sparsity and heterogeneity in FR. In addition, the
RAG approach also prevents LLM hallucination, improving the recommendation
performance for real-world users. Experimental results on diverse benchmark
datasets demonstrate the superior performance of GPT-FedRec against
state-of-the-art baseline methods.
",0
Loops On Retrieval Augmented Generation (LoRAG),"Ayush Thakur, Rashmi Vashisth",2024-03-18T15:19:17Z,"Retrieval Augmented Generation, RAG","  This paper presents Loops On Retrieval Augmented Generation (LoRAG), a new
framework designed to enhance the quality of retrieval-augmented text
generation through the incorporation of an iterative loop mechanism. The
architecture integrates a generative model, a retrieval mechanism, and a
dynamic loop module, allowing for iterative refinement of the generated text
through interactions with relevant information retrieved from the input
context. Experimental evaluations on benchmark datasets demonstrate that LoRAG
surpasses existing state-of-the-art models in terms of BLEU score, ROUGE score,
and perplexity, showcasing its effectiveness in achieving both coherence and
relevance in generated text. The qualitative assessment further illustrates
LoRAG's capability to produce contextually rich and coherent outputs. This
research contributes valuable insights into the potential of iterative loops in
mitigating challenges in text generation, positioning LoRAG as a promising
advancement in the field.
",0
CPR: Retrieval Augmented Generation for Copyright Protection,"Aditya Golatkar, Alessandro Achille, Luca Zancato, Yu-Xiang Wang, Ashwin Swaminathan, Stefano Soatto",2024-03-27T18:09:55Z,Retrieval Augmented Generation,"  Retrieval Augmented Generation (RAG) is emerging as a flexible and robust
technique to adapt models to private users data without training, to handle
credit attribution, and to allow efficient machine unlearning at scale.
However, RAG techniques for image generation may lead to parts of the retrieved
samples being copied in the model's output. To reduce risks of leaking private
information contained in the retrieved set, we introduce Copy-Protected
generation with Retrieval (CPR), a new method for RAG with strong copyright
protection guarantees in a mixed-private setting for diffusion models.CPR
allows to condition the output of diffusion models on a set of retrieved
images, while also guaranteeing that unique identifiable information about
those example is not exposed in the generated outputs. In particular, it does
so by sampling from a mixture of public (safe) distribution and private (user)
distribution by merging their diffusion scores at inference. We prove that CPR
satisfies Near Access Freeness (NAF) which bounds the amount of information an
attacker may be able to extract from the generated images. We provide two
algorithms for copyright protection, CPR-KL and CPR-Choose. Unlike previously
proposed rejection-sampling-based NAF methods, our methods enable efficient
copyright-protected sampling with a single run of backward diffusion. We show
that our method can be applied to any pre-trained conditional diffusion model,
such as Stable Diffusion or unCLIP. In particular, we empirically show that
applying CPR on top of unCLIP improves quality and text-to-image alignment of
the generated results (81.4 to 83.17 on TIFA benchmark), while enabling credit
attribution, copy-right protection, and deterministic, constant time,
unlearning.
",0
Neurosymbolic AI for Reasoning over Knowledge Graphs: A Survey,"Lauren Nicole DeLong, Ramon Fernández Mir, Jacques D. Fleuriot",2023-02-14T17:24:30Z,Neurosymbolic AI,"  Neurosymbolic AI is an increasingly active area of research that combines
symbolic reasoning methods with deep learning to leverage their complementary
benefits. As knowledge graphs are becoming a popular way to represent
heterogeneous and multi-relational data, methods for reasoning on graph
structures have attempted to follow this neurosymbolic paradigm. Traditionally,
such approaches have utilized either rule-based inference or generated
representative numerical embeddings from which patterns could be extracted.
However, several recent studies have attempted to bridge this dichotomy to
generate models that facilitate interpretability, maintain competitive
performance, and integrate expert knowledge. Therefore, we survey methods that
perform neurosymbolic reasoning tasks on knowledge graphs and propose a novel
taxonomy by which we can classify them. Specifically, we propose three major
categories: (1) logically-informed embedding approaches, (2) embedding
approaches with logical constraints, and (3) rule learning approaches.
Alongside the taxonomy, we provide a tabular overview of the approaches and
links to their source code, if available, for more direct comparison. Finally,
we discuss the unique characteristics and limitations of these methods, then
propose several prospective directions toward which this field of research
could evolve.
",0
Neurosymbolic AI for Reasoning on Biomedical Knowledge Graphs,"Lauren Nicole DeLong, Ramon Fernández Mir, Zonglin Ji, Fiona Niamh Coulter Smith, Jacques D. Fleuriot",2023-07-17T11:47:05Z,Neurosymbolic AI,"  Biomedical datasets are often modeled as knowledge graphs (KGs) because they
capture the multi-relational, heterogeneous, and dynamic natures of biomedical
systems. KG completion (KGC), can, therefore, help researchers make predictions
to inform tasks like drug repositioning. While previous approaches for KGC were
either rule-based or embedding-based, hybrid approaches based on neurosymbolic
artificial intelligence are becoming more popular. Many of these methods
possess unique characteristics which make them even better suited toward
biomedical challenges. Here, we survey such approaches with an emphasis on
their utilities and prospective benefits for biomedicine.
",0
