用户名,计算,用户名,阅读,用户名,记忆1,用户名,记忆2,用户名,分类,用户名,听力,用户名,舒尔特,用户名,反向眼跳
62230229,1,62230226,1,62230228,1,62230232,1,62230227,0.5,62230226,0.933333333,62230228,1,62230228,0.94
62230230,0.75,62230227,1,62230229,1,62230233,0.8,62230228,0.833333333,62230227,0.6,62230229,1,62230229,1
62230231,0.714285714,62230228,0.6,62230230,1,62230234,0.6,62230229,0.666666667,62230228,0.733333333,62230230,1,62230230,1
62230232,0.6,62230229,0.8,62230231,0.9,62230235,1,62230230,0.666666667,62230229,0.466666667,62230231,1,62230231,0.98
62230233,1,62230230,0.6,62230232,1,62230236,0.8,62230231,0.5,62230230,0.866666667,62230232,0.990384615,62230232,0.92
62230234,0.6875,62230231,1,62230233,0.7,62230237,0.6,62230232,0.666666667,62230231,0.8,62230233,1,62230233,0.96
62230235,0.9,62230232,0.6,62230234,0.7,62230238,1,62230233,0.833333333,62230232,0.8,62230234,1,62230234,0.98
62230236,0.785714286,62230233,0.8,62230235,0.4,62230239,1,62230234,0.833333333,62230233,0.8,62230235,1,62230235,0.98
62230237,0.75,62230234,0.6,62230236,0.9,62230240,1,62230235,0.5,62230234,0.666666667,62230236,1,62230236,1
62230238,1,62230235,0.6,62230237,0.4,62230241,0.6,62230236,0.833333333,62230235,0.933333333,62230237,0.963598901,62230237,0.88
62230239,0.733333333,62230236,0.6,62230238,1,62230242,0.8,62230237,0.833333333,62230236,0.933333333,62230238,1,62230238,1
62230240,0.923076923,62230237,1,62230239,1,62230243,0.8,62230238,0.333333333,62230237,0.8,62230239,0.990384615,62230239,0.96
62230241,0.888888889,62230238,0.8,62230240,0.9,62230244,0.4,62230239,0.666666667,62230238,0.866666667,62230240,1,62230240,0.96
62230242,0.588235294,62230239,1,62230241,1,62230245,0.8,62230240,0.666666667,62230239,0.866666667,62230241,1,62230241,0.96
62230243,0.466666667,62230240,0.8,62230242,0.7,62230301,0.6,62230241,0.833333333,62230240,0.733333333,62230242,1,62230242,0.94
62230244,0.529411765,62230241,0.4,62230243,0.8,62230302,0.8,62230242,0.666666667,62230241,0.8,62230243,0.990384615,62230243,0.96
62230245,0.777777778,62230242,0.6,62230244,1,62230303,0.6,62230243,0.5,62230242,0.666666667,62230244,0.990384615,62230244,0.96
62230301,0.625,62230243,1,62230245,0.7,62230304,0.6,62230244,0.5,62230243,1,62230245,0.990384615,62230245,0.96
62230302,0.75,62230244,0.4,62230301,0.9,62230305,1,62230245,1,62230244,0.666666667,62230301,0.973214286,62230301,0.76
62230303,0.75,62230245,1,62230302,1,62230306,0.8,62230301,0.833333333,62230245,0.6,62230302,1,62230303,0.7
62230304,0.75,62230301,0.2,62230303,0.5,62230307,0.8,62230302,0.833333333,62230301,0.733333333,62230303,1,62230304,0.94
62230305,0.833333333,62230302,1,62230304,0.6,62230308,0.4,62230303,0.666666667,62230302,0.733333333,62230304,1,62230305,1
62230306,1,62230303,1,62230305,0.8,62230309,0.6,62230304,0.666666667,62230303,0.733333333,62230305,1,62230307,1
62230307,0.857142857,62230304,1,62230306,0.7,62230310,1,62230305,0.833333333,62230304,0.666666667,62230306,0.990384615,62230308,0.98
62230308,0.733333333,62230305,1,62230307,1,62230312,0.6,62230306,0.833333333,62230305,0.8,62230307,0.980769231,62230309,0.96
62230309,0.916666667,62230306,0.6,62230308,0.9,62230313,0.8,62230307,0.5,62230306,0.6,62230308,1,62230310,1
62230310,0.769230769,62230307,1,62230309,1,62230314,0.8,62230308,0.666666667,62230307,0.6,62230309,1,62230312,1
62230312,0.666666667,62230308,0.8,62230310,1,62230315,0.8,62230309,0.5,62230308,1,62230310,1,62230313,0.92
62230313,0.8,62230309,1,62230312,1,62230316,0.2,62230310,0.666666667,62230309,0.666666667,62230312,0.990384615,62230314,0.96
62230314,0.6,62230310,1,62230313,0.7,62230317,0.8,62230312,1,62230310,0.933333333,62230313,0.981481481,62230315,0.98
62230315,0.769230769,62230312,0.6,62230314,0.9,62230318,0.8,62230313,0.5,62230312,0.866666667,62230315,1,62230316,0.54
62230316,0.727272727,62230313,0.8,62230315,1,62230320,1,62230314,0.666666667,62230313,0.933333333,62230316,1,62230317,1
62230317,0.769230769,62230314,1,62230316,0.6,62230321,0.8,62230315,0.666666667,62230314,0.866666667,62230317,1,62230318,0.96
62230318,0.818181818,62230315,0.4,62230317,1,62230322,0.6,62230316,0.333333333,62230315,0.6,62230318,0.453948288,62230320,0.84
62230320,0.692307692,62230316,0.6,62230318,1,62230323,0.8,62230317,0.666666667,62230316,0.8,62230320,1,62230321,0.94
62230321,0.733333333,62230317,0.6,62230320,1,62230324,1,62230318,0.666666667,62230317,0.866666667,62230321,0.971153846,62230322,0.92
62230322,1,62230318,0.8,62230321,0.9,62230325,0.6,62230320,0.333333333,62230318,0.866666667,62230322,0.990384615,62230323,0.94
62230323,0.9,62230320,1,62230323,0.9,62230326,1,62230321,0.5,62230320,0.6,62230323,1,62230324,0.84
62230324,0.727272727,62230321,0.8,62230325,0.8,62230327,0.8,62230322,0.5,62230321,0.8,62230324,1,62230325,0.98
62230325,0.647058824,62230322,0.8,62230326,1,62230328,1,62230323,0.5,62230322,0.8,62230326,1,62230326,0.96
62230326,0.8,62230323,0.8,62230327,0.8,62230329,1,62230324,0.5,62230323,0.666666667,62230327,1,62230327,0.98
62230327,0.846153846,62230324,1,62230328,0.5,62230330,0.8,62230325,0.833333333,62230324,0.866666667,62230328,1,62230328,0.94
62230328,0.833333333,62230325,1,62230329,1,62230331,0.6,62230326,0.833333333,62230325,0.666666667,62230329,1,62230329,0.98
62230329,1,62230326,0.8,62230330,1,62230332,0.8,62230327,0.5,62230326,0.866666667,62230330,0.965517241,62230330,1
62230330,0.733333333,62230327,1,62230331,1,62230333,0.6,62230328,0.333333333,62230327,0.8,62230331,0.918294668,62230331,0.98
62230331,0.769230769,62230328,0.8,62230332,0.7,62230334,0.6,62230329,0.833333333,62230328,0.733333333,62230332,0.990384615,62230333,0.96
62230332,0.517241379,62230329,0.6,62230333,0.9,62230335,1,62230330,1,62230329,0.666666667,62230333,1,62230334,1
62230333,0.818181818,62230330,0.6,62230334,0.6,62230336,1,62230331,0.5,62230330,0.666666667,62230334,1,62230335,0.96
62230334,0.846153846,62230331,1,62230335,0.8,62230337,0.8,62230332,0.166666667,62230331,0.866666667,62230335,0.990384615,62230336,0.98
62230335,0.857142857,62230332,0.6,62230336,0.6,62230338,0.8,62230333,1,62230332,0.733333333,62230336,1,62230338,0.74
62230336,0.769230769,62230333,0.4,62230337,0.7,62230339,0.6,62230334,0.5,62230333,0.666666667,62230337,0.971866097,62230339,0.94
62230337,0.846153846,62230334,0.6,62230338,0.7,62230340,0.4,62230335,0.666666667,62230334,0.6,62230338,0.990384615,62230340,0.9
62230338,0.56,62230335,1,62230339,0.7,62230341,1,62230336,1,62230335,0.733333333,62230339,1,62230341,0.94
62230339,0.684210526,62230337,0.8,62230340,0.7,62230342,0.8,62230337,0.666666667,62230336,0.8,62230340,0.990384615,62230342,0.92
62230340,0.818181818,62230338,0.8,62230341,1,62230343,0.8,62230338,0.833333333,62230337,0.8,62230341,1,62230343,0.92
62230341,0.636363636,62230339,1,62230342,1,62230344,0.8,62230339,0.333333333,62230338,0.733333333,62230342,1,62230344,0.96
62230342,0.5625,62230340,1,62230343,1,62230345,0.4,62230340,0.666666667,62230339,0.866666667,62230343,0.990384615,62230345,0.98
62230343,0.769230769,62230341,0.8,62230344,0.8,62230346,0.8,62230341,0.666666667,62230340,0.866666667,62230344,1,62230346,0.98
62230344,0.818181818,62230342,1,62230345,0.5,62230401,1,62230342,0.833333333,62230341,0.866666667,62230345,1,62230401,1
62230345,0.818181818,62230343,0.2,62230346,1,62230402,0.8,62230343,0.666666667,62230342,0.866666667,62230346,1,62230402,0.98
62230346,0.818181818,62230344,1,62230401,0.5,62230403,1,62230344,1,62230343,0.466666667,62230401,0.990384615,62230403,0.98
62230401,0.916666667,62230345,1,62230402,1,62230404,0.8,62230345,0.833333333,62230344,0.933333333,62230402,0.971153846,62230404,0.96
62230402,0.615384615,62230346,0.8,62230403,0.8,62230405,0.6,62230346,0.833333333,62230345,0.866666667,62230403,0.990384615,62230405,1
62230403,0.928571429,62230401,0.4,62230404,0.7,62230406,1,62230401,0.666666667,62230346,0.8,62230404,0.961481481,62230406,0.98
62230404,0.916666667,62230402,1,62230405,1,62230407,0.8,62230402,0.5,62230401,0.8,62230405,0.935697115,62230407,0.96
62230405,0.846153846,62230403,0.8,62230406,0.6,62230408,1,62230403,0.666666667,62230402,0.666666667,62230406,1,62230408,0.98
62230406,0.888888889,62230404,0.8,62230407,0.8,62230409,1,62230404,0.333333333,62230403,0.8,62230407,0.981481481,62230409,0.88
62230407,0.846153846,62230405,0.8,62230408,1,62230410,1,62230405,0.666666667,62230404,0.866666667,62230408,1,62230410,0.98
62230408,0.9375,62230406,0.8,62230409,1,62230411,0.8,62230406,0.666666667,62230405,0.866666667,62230409,1,62230411,0.88
62230409,0.923076923,62230407,1,62230410,0.5,62230412,0.6,62230407,0.833333333,62230406,0.8,62230410,1,62230412,1
62230410,0.611111111,62230408,1,62230411,1,62230413,0.4,62230408,0.833333333,62230407,0.6,62230411,0.980769231,62230413,1
62230411,1,62230409,0.2,62230413,1,62230414,0.6,62230409,0.833333333,62230408,0.8,62230412,1,62230414,0.96
62230412,0.666666667,62230410,0.8,62230414,0.8,62230415,0.8,62230410,0.666666667,62230409,0.733333333,62230413,0.980769231,62230415,1
62230413,0.769230769,62230411,1,62230415,0.9,62230416,0,62230411,0,62230410,0.6,62230414,1,62230416,0.94
62230414,0.578947368,62230412,0.6,62230416,0.9,62230417,1,62230412,0.333333333,62230411,0.8,62230415,1,62230417,1
62230415,0.818181818,62230413,0.6,62230417,1,62230418,1,62230413,0.666666667,62230412,0.666666667,62230416,0.898611626,62230418,0.94
62230416,0.9,62230414,1,62230418,1,62230419,1,62230414,0.5,62230413,1,62230417,1,62230419,0.96
62230417,0.857142857,62230415,1,62230419,1,62230420,0.6,62230415,0.833333333,62230414,0.866666667,62230418,0.990384615,62230420,0.98
62230418,0.85,62230416,0.6,62230420,1,62230421,1,62230416,0.5,62230415,0.866666667,62230419,0.971866097,62230421,0.86
62230419,1,62230417,0.6,62230421,1,62230422,0.8,62230417,0.666666667,62230416,0.866666667,62230420,0.990384615,62230422,1
62230420,0.714285714,62230418,0.8,62230422,1,62230423,1,62230418,0.5,62230417,0.8,62230421,1,62230423,0.82
62230421,0.75,62230419,1,62230423,1,62230424,0.6,62230419,0.833333333,62230418,0.8,62230422,1,62230424,0.9
62230422,0.916666667,62230420,0.8,62230424,0.7,62230425,1,62230420,0.833333333,62230419,0.8,62230424,1,62230425,0.8
62230423,1,62230421,0.6,62230425,0.9,62230426,1,62230421,0.833333333,62230420,0.8,62230425,0.990384615,62230426,1
62230424,0.785714286,62230422,0.6,62230426,1,62230427,1,62230422,1,62230421,0.666666667,62230426,0.980769231,62230427,0.98
62230425,0.846153846,62230423,0.2,62230427,1,62230428,0.8,62230423,0.666666667,62230422,0.666666667,62230427,0.829624718,62230428,0.92
62230426,0.928571429,62230424,1,62230428,1,62230429,0.8,62230424,0.666666667,62230423,0.533333333,62230428,0.973214286,62230429,1
62230427,1,62230425,0.8,62230429,0.7,62230430,1,62230425,0.666666667,62230424,0.8,62230429,1,62230430,1
62230428,0.928571429,62230426,0.4,62230430,1,62230431,1,62230426,0.666666667,62230425,0.733333333,62230430,1,62230431,0.94
62230429,1,62230427,0.8,62230431,1,62230432,1,62230427,0.5,62230426,0.733333333,62230431,0.990384615,62230432,0.98
62230430,0.8,62230428,1,62230432,0.4,62230433,0.8,62230428,0.5,62230427,0.8,62230432,0.963598901,62230433,0.92
62230431,0.785714286,62230429,0.6,62230433,1,62230434,1,62230429,0.5,62230428,0.6,62230433,0.981481481,62230434,0.96
62230432,1,62230430,0.6,62230434,1,62230435,1,62230430,0.166666667,62230429,0.8,62230434,1,62230435,0.98
62230433,0.846153846,62230431,0.4,62230435,0.9,62230436,1,62230431,1,62230430,0.866666667,62230435,0.990384615,62230436,0.84
62230434,0.933333333,62230432,0.4,62230436,0.7,62230437,0.8,62230432,0.5,62230431,0.8,62230436,0.990384615,62230437,0.88
62230435,0.928571429,62230433,0.6,62230437,1,62230438,1,62230433,0.666666667,62230432,0.733333333,62230437,0.990384615,62230438,1
62230436,0.833333333,62230434,0.8,62230438,1,62230439,0.8,62230434,0.666666667,62230433,0.666666667,62230438,1,62230439,0.98
62230437,0.625,62230435,0.8,62230439,0.9,62230440,0.6,62230435,0.666666667,62230434,0.733333333,62230439,1,62230440,0.94
62230438,0.785714286,62230436,1,62230440,1,62230441,0.8,62230436,0.833333333,62230435,0.933333333,62230440,1,62230441,0.98
62230439,0.555555556,62230437,1,62230441,1,62230443,0.8,62230437,0.166666667,62230436,0.933333333,62230441,1,62230443,0.98
62230440,0.666666667,62230439,1,62230443,1,62230444,1,62230438,0.666666667,62230437,0.933333333,62230443,1,62230444,0.98
62230441,0.666666667,62230440,0.6,62230444,1,62230445,1,62230439,1,62230438,0.733333333,62230444,1,62230445,1
62230443,0.642857143,62230441,0.4,62230445,1,62230446,0.6,62230440,0.166666667,62230439,0.8,62230445,1,62230446,0.96
62230444,0.75,62230443,0.4,62230446,0.8,62230447,1,62230441,0.5,62230440,0.6,62230446,0.990384615,62230447,0.88
62230445,0.8125,62230444,1,62230447,1,62230501,1,62230443,0.833333333,62230441,0.666666667,62230447,1,62230501,0.92
62230446,1,62230445,1,62230501,0.7,62230502,1,62230444,0.833333333,62230443,1,62230501,1,62230502,0.68
62230447,1,62230446,0.6,62230502,0.5,62230503,1,62230445,0.5,62230444,0.933333333,62230502,0.904208145,62230503,0.96
62230501,0.916666667,62230447,0.8,62230503,0.5,62230504,1,62230446,0.666666667,62230445,0.6,62230503,0.990384615,62230505,1
62230502,0.9,62230501,0.8,62230504,1,62230505,1,62230447,0.666666667,62230446,0.666666667,62230504,0.990384615,62230506,0.92
62230503,0.631578947,62230502,0.4,62230505,0.7,62230506,1,62230501,0.5,62230447,0.6,62230505,0.990384615,62230507,0.52
62230504,0.933333333,62230503,1,62230506,1,62230507,0.8,62230502,0.666666667,62230501,0.666666667,62230506,0.990384615,62230508,0.68
62230505,0.909090909,62230504,0.8,62230507,0.8,62230508,1,62230503,0.5,62230502,0.533333333,62230507,1,62230510,0.96
62230506,0.846153846,62230505,0.2,62230508,0.9,62230510,1,62230504,0.833333333,62230503,0.733333333,62230508,1,62230511,0.9
62230507,0.857142857,62230506,0.8,62230510,0.5,62230511,1,62230505,0.333333333,62230504,0.666666667,62230510,1,62230513,0.54
62230508,0.818181818,62230507,1,62230511,0.8,62230513,1,62230506,0.5,62230505,0.666666667,62230511,0.990384615,62230515,0.98
62230510,0.8125,62230508,1,62230513,1,62230515,1,62230507,0.666666667,62230506,0.866666667,62230513,1,62230516,0.9
62230511,0.923076923,62230510,1,62230515,0.4,62230516,1,62230508,0.833333333,62230507,0.866666667,62230515,1,62230517,0.98
62230513,0.722222222,62230511,1,62230516,0.9,62230517,1,62230510,0.333333333,62230508,1,62230516,0.971866097,62230518,0.98
62230515,0.846153846,62230513,1,62230517,1,62230518,1,62230511,0.5,62230510,0.6,62230517,1,62230520,1
62230516,0.916666667,62230515,0.4,62230518,1,62230520,1,62230513,0.666666667,62230511,0.8,62230518,1,62230521,0.94
62230517,1,62230516,0.8,62230520,1,62230521,1,62230515,0.833333333,62230513,0.6,62230520,0.990384615,62230522,0.86
62230518,0.928571429,62230517,1,62230521,0.9,62230522,1,62230516,0.833333333,62230515,0.6,62230521,0.9453125,62230523,0.5
62230520,0.785714286,62230518,1,62230522,1,62230523,1,62230517,0.666666667,62230516,0.866666667,62230522,1,62230524,0.86
62230521,1,62230520,1,62230523,0.8,62230524,1,62230518,0.666666667,62230517,0.8,62230523,1,62230525,0.88
62230522,0.714285714,62230521,0.8,62230524,1,62230525,1,62230520,0.666666667,62230518,0.733333333,62230524,1,62230527,0.96
62230523,0.923076923,62230522,0.6,62230525,1,62230526,1,62230521,0.5,62230520,0.333333333,62230525,0.8125,62230528,0.94
62230524,0.916666667,62230523,1,62230526,0.7,62230527,0.8,62230522,0.5,62230521,0.666666667,62230526,1,62230530,0.98
62230525,0.928571429,62230524,0.8,62230527,1,62230528,1,62230523,0.666666667,62230522,0.733333333,62230527,1,62230532,0.92
62230526,0.666666667,62230525,1,62230528,1,62230530,1,62230524,0.666666667,62230523,0.866666667,62230528,1,62230533,0.5
62230527,0.625,62230526,0.8,62230530,1,62230531,1,62230525,0.333333333,62230524,0.666666667,62230530,1,62230534,0.96
62230528,0.916666667,62230527,0.6,62230531,0.8,62230532,1,62230526,0.666666667,62230525,0.533333333,62230531,0.954285714,62230535,0.88
62230530,0.933333333,62230528,0.8,62230532,0.8,62230533,1,62230527,0.333333333,62230526,0.733333333,62230532,0.965517241,62230536,0.96
62230531,0.909090909,62230530,0.8,62230533,0.8,62230534,1,62230528,0.666666667,62230527,0.533333333,62230533,1,62230537,0.62
62230532,0.909090909,62230531,0.8,62230534,0.9,62230535,1,62230530,0.5,62230528,0.733333333,62230534,1,62230539,0.96
62230533,0.857142857,62230532,0.8,62230535,0.7,62230536,1,62230531,0.666666667,62230530,0.733333333,62230535,1,62230540,1
62230534,0.818181818,62230533,0.8,62230536,0.9,62230537,1,62230532,0.833333333,62230531,0.6,62230536,1,62230541,0.88
62230535,1,62230534,0.6,62230537,0.9,62230538,1,62230533,0.5,62230532,0.6,62230537,1,62230542,1
62230536,0.923076923,62230536,0.6,62230538,0.8,62230539,0.8,62230534,0.833333333,62230533,0.866666667,62230538,1,62230543,0.92
62230537,1,62230537,0.6,62230539,0.8,62230540,1,62230535,0,62230534,0.8,62230539,0.973214286,62230544,0.92
62230538,0.714285714,62230538,0.4,62230540,0.7,62230541,1,62230536,0.5,62230535,0.733333333,62230540,0.808566434,62230545,0.98
62230539,0.923076923,62230539,0.8,62230541,0.7,62230542,1,62230537,0.5,62230536,0.8,62230541,0.973214286,62230546,0.96
62230540,0.916666667,62230540,1,62230542,0.6,62230543,1,62230538,0.666666667,62230537,0.866666667,62230542,1,62230547,1
62230541,0.916666667,62230541,0.8,62230543,0.8,62230544,1,62230539,0.5,62230538,0.733333333,62230543,0.990384615,62230601,0.96
62230542,1,62230542,0.6,62230544,1,62230545,0.6,62230540,0.5,62230539,0.8,62230544,0.980769231,62230602,0.94
62230543,0.666666667,62230543,0.4,62230545,1,62230546,1,62230541,0.333333333,62230540,0.6,62230545,0.870192308,62230603,0.86
62230544,1,62230544,0.8,62230546,1,62230547,1,62230542,0.833333333,62230541,0.8,62230546,1,62230605,0.92
62230545,0.75,62230545,0.4,62230547,1,62230601,1,62230543,0.833333333,62230542,0.866666667,62230547,1,62230606,0.92
62230546,0.916666667,62230546,1,62230601,1,62230602,1,62230544,0.833333333,62230543,0.8,62230601,0.990384615,62230607,0.5
